word,frequency
clifton,3
gloria,3
nolita,3
noho,3
cobble,3
allerton,3
maspeth,3
vargem,3
grande,3
maltepe,3
murray,3
houseboat,3
port,3
camorim,3
arverne,3
sao,3
cristovao,3
brooklyn,3
iztapalapa,3
burwood,3
besiktas,3
ozone,3
sue,2
fresh,2
meadows,2
joa,2
arrochar,2
roosevelt,2
lagoa,2
italy,2
chom,2
iztacalco,2
humaita,2
estacio,2
canada,2
flatlands,2
gavea,2
fairfield,2
hunts,2
corona,2
sham,2
shui,2
po,2
pendik,2
southern,2
flatiron,2
kensington,2
chalet,2
cave,2
wang,2
lang,2
kwun,2
tong,2
sha,2
tin,2
rosedale,2
red,2
hook,2
forest,2
boat,2
gravesend,2
bankstown,2
blacktown,2
prince,1
sai,1
kung,1
catete,1
brownsville,1
college,1
soundview,1
portuguesa,1
khen,1
earth,1
kagithane,1
stapleton,1
castle,1
rat,1
burana,1
oakwood,1
queens,1
castleton,1
corners,1
mott,1
columbia,1
st,1
randall,1
manor,1
throgs,1
neck,1
melrose,1
boerum,1
middle,1
morrisania,1
highbridge,1
basaksehir,1
estates,1
phlat,1
dorm,1
camden,1
praca,1
bandeira,1
wakefield,1
hut,1
penrith,1
dusit,1
graniteville,1
laurelton,1
tribeca,1
university,1
xochimilco,1
springfield,1
atasehir,1
brighton,1
holliswood,1
bronxdale,1
yuen,1
galeao,1
la,1
magdalena,1
contreras,1
howard,1
beach,1
madureira,1
zeytinburnu,1
downtown,1
rego,1
borough,1
lane,1
cove,1
bayside,1
edgemere,1
coney,1
kowloon,1
train,1
kapi,1
phasi,1
charoen,1
ashfield,1
adalar,1
windsor,1
terrace,1
vidigal,1
longwood,1
mount,1
hope,1
pelham,1
vila,1
valqueire,1
bayswater,1
yan,1
wa,1
clason,1
tuen,1
mun,1
eyup,1
kingsbridge,1
bagcilar,1
dumbo,1
uskudar,1
george,1
guaratiba,1
